行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
梧棲區,臺中市梧棲區臨港路四段５９０號十三樓之６,十三層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,14467,坡道平面,社會住宅包租代管公會版41期902,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
清水區,臺中市清水區中清路九段１５２之１３號二樓,二層,華廈(10層含以下有電梯),集合住宅,2,2,1,有,16000,,租金總額含管理費；,整棟(戶)出租,無,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
大雅區,臺中市大雅區大明街１巷２號,全,透天厝,住家用,4,2,2,無,23000,,國家住宅及都市更新中心辦理社會住宅包租代管計畫。續租案件；,整棟(戶)出租,無,無,熱水器、瓦斯或天然氣
霧峰區,臺中市霧峰區四德路１９１巷２之２號,全,透天厝,住家用,3,2,2,有,19000,,,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、電視機、冰箱
烏日區,臺中市烏日區榮泰街１０３號三樓,三層,華廈(10層含以下有電梯),集合住宅,3,2,2,無,18000,,,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
大里區,臺中市大里區新生路９７之５號,五層,公寓(5樓含以下無電梯),集合住宅,3,2,1,有,15000,,續租案件；,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、冰箱
大里區,臺中市大里區工業五路７６號,全,透天厝,住宅．停車空間．梯間,46,0,46,有,7100,,租金總額含水費；網路費；續租案件；,分租套房,無,有,冷氣、熱水器、洗衣機、網路
烏日區,臺中市烏日區新興路６３號,全,透天厝,住商用,6,2,4,無,30000,,,整棟(戶)出租,無,無,
大里區,臺中市大里區工業五路７６號,全,透天厝,住宅．停車空間．梯間,46,0,46,有,7200,,租金總額含水費；網路費；,分租套房,無,有,冷氣、熱水器、網路
大里區,臺中市大里區大智路４９２巷７號１樓,一層,公寓(5樓含以下無電梯),集合住宅,4,2,2,有,19000,,,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、瓦斯或天然氣
大里區,臺中市大里區亞洲街１４７巷１８之４號,四層,公寓(5樓含以下無電梯),集合住宅,3,2,1,有,12500,,續租案件；,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
大里區,臺中市大里區上興街二段１５０巷８號,全,透天厝,住宅、梯間,3,2,2,有,19100,,,整棟(戶)出租,無,無,冷氣、熱水器、電視機、冰箱
太平區,臺中市太平區東村路１５０號６樓之１５,六層,華廈(10層含以下有電梯),集合住宅,3,2,1,有,18000,,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
太平區,臺中市太平區環中東路四段３８５號二樓之１,二層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,24000,坡道平面,社會住宅包租代管公會版41期903,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
太平區,臺中市太平區環中東路三段６５６號７樓之８,七層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,22000,坡道平面,多人共同承租2；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
太平區,臺中市太平區新興路３３號３樓,三層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,15000,,,整棟(戶)出租,有,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣
龍井區,臺中市龍井區龍社路４５０號３樓-１,三層,華廈(10層含以下有電梯),集合住宅,2,2,2,有,20000,坡道機械,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
龍井區,臺中市龍井區藝術街８１巷６號三樓之２,三層,公寓(5樓含以下無電梯),住家用,1,1,1,有,6000,,,獨立套房,無,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路
