行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
龍井區,臺中市龍井區藝術北街２巷１５號四樓,四層,公寓(5樓含以下無電梯),住家用,2,1,1,有,10500,,社會住宅包租代管公會版41期808,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、冰箱
西屯區,臺中市西屯區順平路２１８號,全,透天厝,店鋪、住宅、機械室、樓梯間、水塔室,67,67,67,有,16000,,多人共同承租2；租金總額含水費；網路費；含增建或未登記建物；,分租套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路
西屯區,臺中市西屯區長安路二段６２-５號,全,透天厝,人行步道、店鋪、停車空間、樓梯間、機房、住宅,9,9,9,有,15500,,多人共同承租2；租金總額含水費；網路費；含增建或未登記建物；,分租套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路
西屯區,臺中市西屯區順平路２１８號,全,透天厝,店鋪、住宅、機械室、樓梯間、水塔室,67,67,67,有,17500,,多人共同承租2；租金總額含水費；網路費；含增建或未登記建物；,分租套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路
南區,臺中市南區五權南路６９４號４樓之２,四層,公寓(5樓含以下無電梯),住家用,2,1,1,有,12000,,此為台中市政府社會住宅包租代管計畫。續租案件；,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
南區,臺中市南區美村路二段１６８巷１號３樓之２,三層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,14000,,續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
西區,臺中市西區梅川西路一段６７號七樓,七層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,8800,,台中市政府包租代管計畫。管理費1200元由出租人負擔續租案件；,整棟(戶)出租,有,有,熱水器、冰箱、瓦斯或天然氣
南區,臺中市南區和昌街８９號四樓之６,四層,住宅大樓(11層含以上有電梯),集合住宅,3,1,1,有,20000,,未租賃車位，建物登記含有車位面積；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
中區,臺中市中區中華路一段１２１號１６樓之３０,十六層,住宅大樓(11層含以上有電梯),集合住宅,1,0,2,有,8500,,續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、冰箱
西區,臺中市西區忠明南路３２５號五樓之２１,五層,住宅大樓(11層含以上有電梯),集合住宅,1,0,1,有,12500,,房屋租金12500/月，管理費500/月續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
西區,臺中市西區博館三街８０號,一層,店面(店鋪),住家用,2,2,2,無,25800,,租金已扣除管理費200元含增建或未登記建物；,,無,無,熱水器、瓦斯或天然氣
南區,臺中市南區仁和路２２５巷２號,全,透天厝,住家用,53,1,53,有,6500,坡道平面,機車停車位管理費150元/月租金總額含網路費；,分租套房,無,有,冷氣、熱水器、網路
北區,臺中市北區中清路一段６５２號１９樓之９,十九層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,15000,,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
北屯區,臺中市北屯區軍福七路３６號二樓之７,二層,住宅大樓(11層含以上有電梯),住家用,2,1,1,有,22100,,未租賃車位，建物登記含有車位面積；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
北區,臺中市北區中清路一段８８０巷６弄１０號５樓,五層,公寓(5樓含以下無電梯),住家用,3,2,2,有,14500,,,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣
北區,臺中市北區山西路一段８３號４樓之１,四層,住宅大樓(11層含以上有電梯),住家用,2,2,1,有,18000,,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、電視機、瓦斯或天然氣
北屯區,臺中市北屯區敦富一街１６６之２號,一層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,18000,坡道平面,房屋租金18000/月，管理費2500,整棟(戶)出租,有,有,冷氣、熱水器、電視機、瓦斯或天然氣
北屯區,臺中市北屯區中清路二段１０２０號二樓,二層,華廈(10層含以下有電梯),餐廳,0,1,1,無,45000,,不承租車位已扣除車位面積租金總額含水費；,,無,有,冷氣
北區,臺中市北區日興街１８２號,一層,店面(店鋪),店舖,0,0,0,無,17000,,只出租建物面積的一半租金總額含管理費；水費；電費；瓦斯費；網路費；,,有,有,
北區,臺中市北區日興街１８２號,一層,店面(店鋪),店舖,0,0,0,無,17000,,只出租建物面積的一半租金總額含管理費；水費；電費；瓦斯費；網路費；,,有,有,
北屯區,臺中市北屯區景和街６號１２樓之６,十二層,住宅大樓(11層含以上有電梯),集合住宅,3,2,1,有,24000,坡道平面,多人共同承租2；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
北屯區,臺中市北屯區敦富一街２０８之６號,一層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,25100,坡道平面,社會住宅包租代管公會版41期813,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
北區,臺中市北區大德街１６１巷１９號,全,透天厝,住家用,2,2,2,有,19000,,續租案件；,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、冰箱
北區,臺中市北區中清路一段８２２之１０２號,八層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,11000,,社會住宅包租代管公會版4期84-2租金總額含管理費；網路費；其他第四台；續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路
北區,臺中市北區綏遠路一段１之２號４樓之２,四層,華廈(10層含以下有電梯),住家用,3,2,2,無,16500,,,整棟(戶)出租,有,有,熱水器、電視機、冰箱、瓦斯或天然氣
南屯區,臺中市南屯區保安十街１５０之１０號,一層,華廈(10層含以下有電梯),寄宿舍,1,0,1,有,10500,,,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
南屯區,臺中市南屯區保安十街１５０號二樓之１９,二層,華廈(10層含以下有電梯),寄宿舍,1,0,1,有,15400,,多人共同承租2；續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
南屯區,臺中市南屯區保安十街１５０號六樓之１７,六層,華廈(10層含以下有電梯),寄宿舍,1,0,1,有,11000,,,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
西屯區,臺中市西屯區寶慶街３０巷９號八樓之５,八層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,7000,,,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
西屯區,臺中市西屯區福聯街４５號五樓之２９,五層,華廈(10層含以下有電梯),住家用,1,0,1,有,5500,,,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
西屯區,臺中市西屯區河南路二段３２３號２樓之５,二層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,7413,,,獨立套房,有,有,冷氣、熱水器、電視機、冰箱
西屯區,臺中市西屯區黎明路三段３１８號五樓之１,五層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,6500,,續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
西屯區,西屯段1917-19地號,,其他,,0,0,0,無,87000,,租金總額含稅；,,,,
西屯區,臺中市西屯區西屯路二段２８２巷３０號,五層,公寓(5樓含以下無電梯),住商用,34,0,34,有,5500,,租金總額含水費；網路費；,分租套房,無,無,冷氣、熱水器、網路
西屯區,臺中市西屯區青海路二段１７５號十二樓之７,十二層,住宅大樓(11層含以上有電梯),住家用,2,1,1,有,14000,,社會住宅包租代管公會版41期811多人共同承租2；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西屯區,臺中市西屯區西屯路二段２０８巷１６之９號二樓之１,二層,華廈(10層含以下有電梯),集合住宅,1,0,1,有,12000,,社會住宅包租代管公會版4期82-2租金總額含網路費；其他第四台；續租案件；,獨立套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路
西屯區,臺中市西屯區河南路二段３０１巷２６號８樓之７,八層,華廈(10層含以下有電梯),住家用,1,0,1,有,8500,,租金含管9000元/月管理費500元/月續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
西屯區,臺中市西屯區成都路２１６號七樓之２,七層,華廈(10層含以下有電梯),住家用,3,2,2,有,22000,坡道機械,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
南屯區,臺中市南屯區大英西二街６９號六樓之１,六層,華廈(10層含以下有電梯),住家用,2,1,1,有,18000,升降機械,房屋租金18000/月，管理費2440/月續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
西屯區,臺中市西屯區大隆路７６號五樓,五層,住宅大樓(11層含以上有電梯),住家用,3,1,2,有,23000,,租金含管26000元/月管理費3000元/月續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
南屯區,臺中市南屯區義芳街２７號二樓之１,二層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,28000,坡道平面,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
豐原區,臺中市豐原區永康路２１１巷８２號６樓,六層,華廈(10層含以下有電梯),住家用,3,1,2,有,10000,,房屋租金10000/月，管理費1606,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
豐原區,臺中市豐原區豐北街２７８巷２６之３號二樓之１,二層,華廈(10層含以下有電梯),集合住宅,2,1,1,有,17500,坡道機械,房屋租金17500/月，管理費1800/月,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
清水區,臺中市清水區港都五路３１號十樓之５,十層,住宅大樓(11層含以上有電梯),集合住宅,2,1,1,有,13100,,未租賃車位，建物登記含有車位面積；,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
